tweets,label
A sweet and super way to begin the #NewYear2021 with some sweet treats here @101_flavors! Happy good vibes to all!… https://t.co/Jgk6QZodk0,1
https://t.co/OPeBMsCBAR @inquirerdotnet,0
Exposed for the second time around with a Covid positive. This time lahat kaming pito. Lord guide and protect us fr… https://t.co/3C1NjA7CPg,1
Spider-Man malling is best done with Superfriends around to keep you company! A great way to start 2021 the superhe… https://t.co/y5Fw4IY0E4,1
Starting the #NewYear2021 right with some webhead grocery shopping with Superfriends! The fun adventures of the Tra… https://t.co/BBqHHFeCQe,1
"Fuck you covid, fuck you",-1
"Dito sa parokya namin, syempre may misa na. Ung pari pala ay may COVID na. Ayun nategs na si Father. Sige, simba pa more.",-1
Ngayon ko lang nakita mga pictures sa Quiapo. Jeskelerd! Walang takot sa COVID. Di naman siguro magtatampo si Lord… https://t.co/BnGnDHRxrD,-1
"COVID-19 SA PILIPINAS as of January 9, 2021 | via DOH 🇵🇭😷 https://t.co/uXCVNGoSeS",-1
@Sbmsv_GiftedBot Hindi ba nila alam na may covid hays,-1
I've been working at a hospital this whole pandemic and I've never got swab-tested for Covid. And y'all get it for… https://t.co/45Gp1nZoIy,-1
nauumay na ako potanginang covid yan,-1
"@ANCALERTS Pag walang EUA at Product Registration, kahit may pera pambili ng bakuna ang LGUs at private companies,… https://t.co/If5aW0s0te",0
"@inquirerdotnet @CEBacligINQ Pag walang EUA at Product Registration, kahit may pera pambili ng bakuna ang LGUs at p… https://t.co/kqp553f0EA",0
"THIS! Pag wala kasing EUA at Product Registration, kahit may pera pambili ng bakuna ang LGUs at private companies,… https://t.co/aUP8gVDbej",0
@L1PMNreece1 @royken86 @TheSpursExpress @avfcnewsgossip @Dan_KP How sad is your life that you wish someone Covid? 😂 get a life seriously,-1
Craaazy! Nung June pa may another variant ng Covid-19 sa Ph? 👏,-1
di ko alam pero i'm hoping na sana yung Manila traveller na nagpositive sa Hongkong ay sa HongKong niya mismo nakuh… https://t.co/urRh0KSSMY,1
Waiting na yung variant ng Covid-19 na nadiscover sa HK 🇭🇰 is DIFFERENT from that of the red flag country (esp. UK),0
"Mitch McConnell says 'no realistic path' for $2,000 relief checks bill https://t.co/8fwLE1QyeB",-1
Si covid nag-mumutate na 😥,-1
Why can’t people just pray and worship inside their homes instead of going to Quiapo. For sure magspike nanaman bil… https://t.co/wQ8NKOHUsN,-1
Stating indoors prevents you from spending and getting the COVID-19 talaga.,0
"It’s kinda traumatizing to start a new year 

I feel like, are we just having COVID lockdown year 2.0

Jesus help",-1
Nauna pa madetect ng ibang bansa yung new covid strain sa PH kesa sa PH mismo. 😏🙃 https://t.co/mriLzz7jIG,-1
ang hirap naman magkasakit ngayong may covid,-1
"Bungad ng 2021. Binaril ng isang pulis ang mag-inang Gregorio nitong Desyembre. Pagpasok ng Enero, ginahasa at nata… https://t.co/TSFPtjrcUZ",-1
Ako nlng magmamarket bukas walang gsto sumama takot covid ihh 🥴,-1
"If you, guys, still wanna wear copper masks, place a surgical or N95 mask underneath (what I do all the time). Afte… https://t.co/qfz6CDH2n5",0
Makati and Manila City already have their own pre-registration for covid-19 vaccine. Kailan kaya sa Taguig? And hop… https://t.co/Xvg380VUrC,0
I don't think na panganganpanya ang pagbili ng vaccines kontra covid. Tama lang ang hakbang na iyon ng mga lider ng LGUs.,-1
"@Lakers_310 Awwww prayers for her 🙏🙏🙏
My brother and family in UT got Covid too 😭",-1
"Allegedly Rape Case, New Covid Strain , Us Capitol Riots 😔",-1
Then I noticed a pastor who has been allowing physical gathering without distancing &amp; masks has caught covid. And i… https://t.co/k6xRYiVAyA,-1
"Kung may bearer na ng bagong variant ng virus sa Pilipinas, ibig sabihin:

1. May nakapasok na taga-ibang bansang n… https://t.co/OOhBIBseF4",0
"Tangina nung mga ang lalakas umubo sa public bus. Dry cough pa amputa, may pa-duwal duwal pa. Nubayan? Covid o TB?… https://t.co/wUsMecCDeU",-1
hoy sana all pimple free na!! at covid free na rin hahahahha,1
Been going to baguio every jan/feb since 2017..... covid alis ka na leche ka laboy na laboy na ko 😢,-1
Potaena nararamdaman ko na naman ang mga symptoms ng covid. 🤮🤮🤮🤮🤮🤮,-1
They are praying for good health and COVID-19 free Philippines https://t.co/gOKFeQuAQ5,1
@Sijeykitainn HAHAHAHAHAHAHAHAHA UMAY COVID E,-1
Covid with little holy water baka sakaling hindi daw tamaan ng covid https://t.co/R3Wc4z1wYb,-1
"I said it before and I'm saying it again. Fuck you, Covid 🖕🖕",-1
"Welcome, COVID 2.0 https://t.co/sC7jlJTFTc",-1
"it’s been a year since our GALA.
GALA where we didn’t need face masks and face shields
the very year, na hindi nati… https://t.co/U3MOywNOg3",0
"“New Year, New Me!” - #COVID19 

https://t.co/evtzr6upll",1
namiss ko na mag training taena covid umalis kana.,-1
Spidey finally grabs his 2021 organizer here @Starbucks! Time to celebrate it with a drink! The Happy New Year cont… https://t.co/3ZRVpP6ZpF,0
Spidey's last opportunity to celebrate the holidays before it officially comes to a close @RobGalleria! Happy New Y… https://t.co/E1H3SlmwIq,0
"Di sa pag aano, pero kaka bwisit pala yung baby na iyak ng iyak kapag may kasabay ka sa jeep, di ako judger pero so… https://t.co/VGsuf2VvKW",-1
@TheDoctorLuck pwede din doc para mas mapabilis ang pag galing ng mga covid cases,1
@roxxcristobal Oo same feeling hahahaha ang hirap magkasakit kasi aakalain covid agad hahaha.,-1
@TIME Covid-19 what else,0
heto lang naman sapitin nyo pag nagka severe covid ang mga matitigas ulo. https://t.co/fcLddtIem1,-1
The least thing that u can wish for yourself in this quarantine is wag magkasakit. Grade 7 pa ata ako huling nilagn… https://t.co/cghjxNQ5lZ,1
"Page 9/365. Fiesta ng Nazareno kaya nagsimba kami ni mama. Infairness, ang organize nila.Mga tao marunong sumunod.… https://t.co/TZZl1IjtK3",1
"I understand yun mga devotees gaano impornte sa kanila yun event pero covid can kill you and your family.

God is e… https://t.co/6gQc99vc7A",0
"nakaka sad for all the doctors and nurses died as frontliners. covid 19 can threatened our life and our family, our… https://t.co/iSnRCDHygr",-1
"Dati everyday kung mag update ang doh about covid report, bakit ngayon parang wala na akong nakikita?",-1
78% efficacy and 100 %prevention for severe cases of covid 19.. so aangal kapa? sinophobic kapa din? 😏 https://t.co/QuH7SPuVBf,-1
@kitsuneMaisonn @chefadobo hahahahaahaa. love ko winter days pag nariyan ako. san kaba dyan ninang baka after covid vacay ako dyan e,0
"So eto, kabado na naman kami sa office. 3 na pala case ng bagong covid sa pinas",-1
